homeType,RegionName,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
1-bedroom,Chicago,183890,182031,182287,180144,180620,178403,178442,176664,176501,174871,173974,171572,169196,167359,165256,164523,162841,162193,161569,161212,159899,158816,157412,157486,156838,157092,155565,155272,153407,152879,149749,147943,145522,144201,141912,139764,137768,136011,134610,132480,131024,128832,127969,126467,125463,123272,122067,120387,119223,117138,116308,115474,115131,114372,113648,112998,112602,112835,113357,113852,114740,115890,116734,117752,118700,120301,121868,123774,125310,127288,128346,129669,130315,131376,131988,132288,132849,133648,134385,134730,135298,135621,136276,136845,137393,137626,138108,139116,139798,140002,140108,140440,140805,141121,141438,141967,142598,143774,144702,145405,146010,146738,147821,148681,149411,150096,151041,151830,152704,153289,154419,155356,156162,156757,157279,158119,158993,159747,160300,161115,162371,163345,163553,163555,163930,164519,164942,165155,165519,165950,166490,166851,166578,166271,166239,166690,167134,167374,167632,167790,167879,167953,167955,167949,168148,168504,168872,168977,168890,168851
1-bedroom,Washington,291345,289612,287947,284815,281658,278173,275413,273447,272238,271361,270361,268591,265132,261834,259096,258009,257256,257032,256577,255822,254960,254351,254136,254406,255362,256379,257061,257708,258493,259017,259008,258983,258476,257520,256234,255911,256145,256584,255985,254913,253678,252826,251980,251028,250542,250435,250713,250222,249687,249203,250066,250885,251673,252452,253977,255511,256822,258319,259862,261623,263025,264371,265631,267272,269554,271725,273186,274813,276400,278021,279240,280369,281764,282968,283851,284235,283912,283432,283467,283488,283562,283081,282907,282641,282070,281991,282071,282419,282597,282922,283195,283306,283409,283827,283932,284041,284288,283855,283634,283477,284152,284509,284563,284688,284877,285213,286089,287262,288565,289862,290320,290582,290099,290207,290682,291316,292092,292650,293157,293243,293119,293617,294522,295375,296552,297572,298834,299299,299586,299888,300247,300962,301792,302475,303786,305043,306499,307046,307484,308286,309604,311026,312397,313720,315115,316432,317320,318421,319441,321243
1-bedroom,Miami,162959,159614,155678,151924,148143,144601,141210,137647,133840,129712,125769,121878,118428,115048,111908,108876,105969,103397,100652,98158,95956,94232,92787,91355,90210,89197,88401,87580,86729,85610,84697,83759,82960,81947,81001,80232,79451,78782,78127,77650,77190,76893,76685,76638,76587,76842,77231,77576,77894,78116,78496,78952,79693,80670,81585,82598,83700,84791,85668,86662,87955,89606,91238,93023,94659,96171,97777,99364,100941,102274,104001,105675,107333,108418,109592,110285,111150,111738,112573,113251,113961,114847,115270,115807,116013,116673,117111,117816,118392,119127,119637,120219,120875,121482,122334,122979,123846,124569,125340,126014,126675,127583,128496,129270,129860,130418,131114,131863,132579,133090,133451,133973,134463,134846,135135,135733,136303,136995,137202,137664,137940,138587,139311,139843,140419,140748,141330,141801,142262,142456,143070,143568,144090,143843,143760,143727,143822,144160,144475,144821,144999,145323,145510,145632,145801,146404,146853,147310,147640,147904
1-bedroom,Atlanta,151243,149831,148508,147529,147317,146688,145755,144833,144042,143256,141614,139592,137349,135704,133925,132029,130314,128553,127443,126146,125412,124543,124075,123392,122720,122159,121753,121571,120611,119532,117864,116324,114095,111778,109669,108615,107867,106862,105254,103596,101958,100659,99583,98728,98454,98570,98272,97163,95732,94865,94554,94538,94761,95288,95718,96312,96410,96567,97265,98305,100030,101477,103240,104862,106465,108216,110045,111925,113829,115511,117176,118949,120598,122249,123539,124513,125662,126318,127885,128968,130512,131551,132724,133966,135080,136041,136942,138427,139989,141896,142778,144143,145295,146769,148066,148740,150073,151210,153117,154640,156146,157194,157933,158549,158854,160433,162172,164721,166038,168011,169622,171180,172487,173963,176226,178390,181356,183472,185128,186703,188988,191374,193111,194514,196348,198447,200178,201548,202796,204478,205952,206901,207441,207454,207438,208122,209514,209832,209656,209186,209144,208835,208850,209114,209563,210170,211164,211788,211698,212258
1-bedroom,Boston,252809,251001,249750,248540,247764,246498,244901,243229,241776,240471,239152,237459,236063,234628,233100,231798,230894,230287,230151,230403,231083,231622,231961,232300,232689,233290,233819,234242,234225,234336,234015,233079,231336,229903,228864,228392,227867,227018,225641,224379,223323,222653,221805,221179,220795,220312,219897,219423,219262,219298,219974,220541,221161,221275,221854,222575,223511,224939,226662,228652,229937,231747,233390,235457,237371,239393,241703,244152,247015,249391,251346,252447,253627,254848,256591,258784,260464,262475,263677,264930,265498,266255,267091,269025,271428,273762,275140,275813,277074,278360,280490,282331,284145,285917,287502,289095,291104,292554,294266,295529,297562,299312,300605,302376,304790,307241,309837,311644,313022,314517,316538,319437,321607,323791,326382,328528,330602,332206,334479,336502,338403,340724,343297,345496,347366,349315,351242,352781,353638,354941,355921,356985,357381,357049,356069,355658,356021,356980,357407,357926,358662,359207,359517,359926,360857,362010,363302,364066,364455,364274
1-bedroom,San Francisco,478831,473853,470919,468394,465272,460287,453715,448166,444014,439425,432459,425544,418219,412922,407332,400455,394871,391935,391289,387981,383366,380831,381790,385266,386371,385554,382424,381124,380158,378166,374315,372328,370142,367997,363977,358840,355135,351709,350138,347105,342522,337233,334352,331578,330700,328622,327346,326324,324763,324787,324862,326611,329710,334821,339167,344415,348895,354653,360392,366183,375349,382783,392203,400670,411567,421172,430510,437620,444351,450481,457410,465176,470298,476469,479546,483613,484730,486169,488387,491562,495249,499290,504784,509606,512735,517345,524815,532947,540295,548142,557082,567016,576780,584637,589372,594381,602863,609709,612643,613807,615722,617215,615079,613099,612168,615139,618645,622404,623593,624802,626691,628988,632180,635755,641860,647388,654027,659043,665900,672430,678504,683083,689069,695963,702986,709609,714348,718993,720752,721560,719114,712939,708225,705285,702482,700432,702332,704341,706171,703890,704470,705337,707049,710951,713853,715711,716357,715514,710996,706137
1-bedroom,Seattle,279152,278886,277552,274229,270416,267113,265340,262759,259962,257395,255540,252088,249356,246036,243744,240132,237191,234254,232222,230650,229554,229107,228786,228985,227352,225942,223769,223595,223614,222872,220755,217663,214897,211292,207704,204279,202108,200719,198943,196451,192294,188703,185170,182843,180354,178311,176369,174557,173047,170290,168501,167641,168823,170556,172397,173980,175671,177674,180073,182474,184109,187197,190213,193391,195842,197501,199878,202090,204726,206767,208331,210078,212474,214316,215638,216269,216683,218279,219349,220663,221513,223292,225334,227443,229882,231780,234278,236499,239997,242630,245621,249073,252609,255778,258805,261621,264044,267398,270825,274699,277601,280920,284216,286944,289861,292643,296537,300867,305068,308418,311094,315056,319859,325651,331772,337536,342596,348351,352568,357241,361379,367635,374025,379284,383123,384895,384846,384313,384873,385032,384177,382122,379756,376747,373553,371006,370525,370334,371080,371400,371769,372056,373472,375355,377794,379922,382384,384730,386159,388252
2-bedroom,New York,359383,358250,356432,354068,350990,348308,345867,343564,341148,338542,335909,333142,330211,327194,324507,321589,319187,316572,314426,312436,311009,309982,309422,309078,308838,308527,307907,307815,307783,308035,307853,307221,306174,304675,302847,300998,299327,298030,296825,295323,293455,291436,289483,288004,286582,285345,284002,282749,281523,280092,278847,277716,277078,276510,276053,275585,275429,275466,275792,276191,276742,277558,278337,279121,279847,280984,282528,284100,285517,286969,288630,290089,291424,292298,293632,294931,296229,296963,297275,297703,298110,298523,298452,298809,299364,300389,300844,301361,301837,302530,303154,303600,304173,304677,305590,306082,306208,306234,306387,306807,307046,307655,308484,309462,310227,311134,311884,312885,314040,315103,316386,317425,319114,320497,322201,323812,325600,327060,328534,329953,331586,333330,334923,336574,337746,338925,339590,340258,341050,342238,343474,344338,344761,344844,345064,345338,346097,346678,347418,347792,348211,348425,348571,348945,349485,350211,350806,351323,351521,351861
2-bedroom,Los Angeles,465549,457129,447180,435168,422837,412653,403239,394628,387481,380413,372493,362032,354446,349948,346819,343008,339407,335437,332932,332033,332519,333271,334439,337012,337027,335121,334240,335477,338461,337865,336249,333318,330611,327776,324143,321936,320731,320348,318488,316103,311826,310726,309667,308712,306404,304080,303669,302499,301420,299975,299250,298993,299995,301121,303102,304983,307754,311697,315291,320107,324633,331560,338853,347034,354203,361391,367937,375892,382863,388269,392555,395466,398759,399441,400125,400124,400996,401622,403108,402666,402814,403005,405334,407584,410708,414198,417705,419580,421738,423843,425938,428601,431451,434996,437459,441329,443547,446474,448241,451910,454837,457657,459992,463148,466693,470220,472746,474519,477663,480164,483387,485616,489153,492643,496012,499034,501980,504899,509443,513807,517616,521263,525041,528845,531967,535106,538036,539629,540253,541011,541559,541171,540022,537298,534515,533335,535372,537966,540170,541332,543603,545658,547095,549167,551617,555313,558746,560923,560537,559580
2-bedroom,Chicago,191573,189937,189349,187439,186963,184989,184155,182101,181015,179099,177577,175279,172738,170766,168662,167331,165391,163962,162775,161840,160521,159364,158302,157945,157435,157094,156007,155594,154439,153992,151965,150655,148882,147756,145792,144064,142232,140901,139533,137843,136451,134712,133850,132554,131657,129858,128753,127292,126364,124724,123988,123066,122538,121623,120670,119844,119110,119063,119290,119549,120037,120649,121073,121762,122395,123605,124825,126355,127674,129184,129977,130940,131414,132280,132821,133147,133700,134538,135413,135977,136723,137229,138004,138600,139213,139558,140185,141183,142029,142372,142662,143010,143373,143664,143986,144526,145186,146215,147037,147697,148256,148975,149908,150777,151506,152246,153128,154042,155015,155872,157027,158074,158980,159633,160185,160931,161790,162790,163748,164812,165927,166742,167160,167581,168230,169095,169760,170337,170992,171599,172174,172567,172719,173058,173371,173873,174265,174532,174832,175003,175170,175267,175350,175478,175719,175943,176292,176488,176649,176811
2-bedroom,Washington,319375,316013,312164,307542,302570,298303,294304,290701,287142,284036,281028,277956,273802,269916,266505,264120,262657,261567,260692,259913,259145,258807,258885,259319,260305,260888,261707,262397,263040,262968,262564,261964,261535,260633,259234,258322,257766,257777,256887,255959,254853,254339,253683,253234,252750,252449,252570,252381,252242,252362,253407,254490,255500,256549,257939,259175,260157,261697,263287,265208,266964,268403,269796,271273,273347,275323,277135,279191,281460,283251,284820,285877,287206,288269,289185,289720,289653,289405,289539,289503,289632,289547,289675,289787,289344,289689,290006,290414,290538,290934,291328,291733,291964,292450,292569,292746,293219,292875,293003,293295,294627,295338,295748,295906,296320,296854,297880,299386,300720,302333,302754,303452,303179,303748,304477,305705,306813,307751,308644,308885,309463,309895,311299,312184,313899,315309,316868,317675,318385,319013,319504,320565,321844,323482,325091,326409,327716,328471,329325,330400,331849,333447,335128,336642,337893,338965,339876,341289,342538,344279
2-bedroom,Miami,210526,206143,201141,196499,191868,187658,183080,178142,172898,167531,162374,157824,153703,149902,146092,142554,139005,135934,133231,130924,128902,127449,126349,125039,124000,123112,122626,121884,121133,120022,119041,117927,116889,115530,114263,113135,111960,110835,109751,108951,108177,107522,106866,106439,106074,105905,105901,105943,106064,106074,106236,106537,107175,108099,108996,110029,111192,112497,113525,114726,116214,118138,120099,122315,124409,126365,128386,130489,132661,134612,136992,139167,141257,142685,144236,145156,146319,147201,148493,149504,150428,151471,152032,152862,153530,154757,155643,156721,157521,158566,159293,160202,161310,162372,163699,164755,166027,167075,168241,169421,170711,172163,173599,174826,175786,176785,178001,179325,180559,181643,182513,183621,184628,185654,186601,187945,189296,190699,191409,192260,192737,193793,195000,196093,197282,198174,199343,200260,201091,201603,202689,203719,204749,204657,204863,205064,205420,205928,206498,207128,207558,208180,208606,208938,209415,210461,211195,211900,212417,212924
2-bedroom,Atlanta,143458,142577,141512,140521,139696,138719,137498,136262,135107,133923,132294,130201,128014,126122,124418,122647,120898,119517,118567,117528,116666,115697,115118,114661,113957,113105,112117,111764,111388,110656,109126,107431,105305,103542,101720,100409,99028,97902,96456,94728,92642,90802,89457,88773,88582,88316,87928,87088,86645,86062,86100,86071,86425,86817,87271,87361,87177,87157,87593,88352,89150,90061,91064,92265,93626,95066,96535,98170,99985,101689,103077,104424,105693,107065,108047,108887,109465,110037,110845,111646,112516,113311,114168,114987,115721,116295,116982,117814,119019,120195,121085,121867,122685,123462,124259,124894,125898,126949,128228,129438,130331,131018,131572,132326,132826,133775,134824,136294,137441,138676,139782,140866,141980,143413,145042,146469,148130,149573,151159,152707,154181,155648,156860,158320,159918,161679,163411,165072,166691,168321,169766,170823,171835,172526,173528,174492,175866,176659,177349,177929,178610,179276,179960,180854,181861,183072,184173,185154,185725,186588
2-bedroom,Boston,304945,302681,300761,298710,296714,294354,292127,289915,287740,285450,283335,280980,278853,276612,274478,272729,271710,271092,270741,270502,270807,271187,271626,272192,272884,274040,274807,275407,275284,275114,274591,274005,272832,271910,270923,270449,269813,268440,266738,265093,263806,263007,261905,260960,259867,258763,257732,256671,255971,255607,255764,255788,256054,256124,256861,257465,258375,259615,261349,263198,264331,266168,268249,271103,273493,275433,277285,279424,282183,284699,286637,287836,289199,290205,291439,292813,294119,295747,296911,298130,298683,299093,299807,301614,303952,306168,307531,308006,308896,310017,311995,313775,315267,317005,318330,319565,320936,322464,324306,326097,328178,329988,331153,332576,334713,336836,339206,341089,342591,343973,345520,347990,350059,352339,354940,356910,358967,360484,362890,364708,366620,368599,371168,373395,375426,377184,378783,380302,381063,382389,383125,384223,384737,385176,384626,384182,384215,385462,386605,387757,388970,389971,390857,391774,393081,394363,396008,397487,398725,399078
2-bedroom,San Francisco,574018,568408,562689,556790,549556,542320,533579,525129,517964,510159,500183,491175,480127,473553,467636,462284,457059,454444,453407,450603,446740,446369,450147,455670,460072,461087,460319,459996,460821,459916,456810,455518,453328,451318,446796,441790,437887,433803,431317,427884,423121,417578,415171,412020,411343,408280,406439,404541,401934,401729,401790,403888,407569,414141,419831,426837,432610,440270,448193,456200,468155,478519,491256,502329,515812,526905,537443,545552,554084,562438,571262,580926,587526,594317,597219,601495,602313,604087,606616,611027,615706,620547,626841,632830,636956,642757,652035,661652,671077,679938,690356,701917,713771,723079,728642,733334,742245,749814,753106,755337,758012,762085,761606,761010,759962,764094,768410,775127,778556,782999,787074,791146,795995,801340,809772,816628,825916,833951,846021,857471,867828,874393,882500,892196,902948,911113,916252,921933,924382,925787,921920,913197,904855,900099,896207,895539,898197,901386,903221,900532,901813,902893,905176,910162,915423,919204,921465,920067,915064,910372
2-bedroom,Seattle,319457,318348,316467,313183,309339,305620,302854,299299,295344,291683,288585,284755,282187,279097,276448,271649,267883,264552,262682,261030,259727,259060,258711,258612,256017,253559,250728,250544,250597,249589,247029,243559,240655,237125,233679,230293,228118,226525,224188,221228,216584,213007,209450,207264,204831,202746,200710,198988,197960,196080,195420,194845,196039,197296,198993,200494,202113,204045,206305,208344,209472,211843,214505,218073,221125,223526,226433,229185,232372,234782,236650,238557,241070,243321,244717,245520,246234,248318,249735,251015,251831,253802,256149,258855,261864,264013,266462,268470,271533,273774,276332,279743,283338,286636,289656,292420,294767,298017,301688,305825,309128,312599,316287,319475,322701,325531,329443,333747,337996,341749,344951,349162,353973,359624,365582,370871,375367,380524,384547,389108,393364,399299,405099,409990,413786,415956,416271,416114,417330,418295,418301,416566,414963,412768,410752,409017,409559,410521,412377,413798,415235,416598,418932,422171,425541,428714,432078,435590,437925,440715
3-bedroom,New York,428084,426436,424217,421594,418174,414983,411926,409199,406371,403140,399940,396817,393455,390037,386817,383764,381258,378794,376548,374449,372968,371987,371429,371111,370839,370662,370171,369975,369674,369682,369497,369039,368128,366669,364842,362827,361188,359749,358429,356680,354791,352560,350428,348480,346647,345075,343452,341958,340488,338900,337649,336577,335993,335584,335213,334897,334806,334746,334986,335395,335869,336691,337333,338305,339188,340426,341992,343531,345004,346660,348466,350036,351465,352394,353669,354661,355769,356473,356855,357312,357737,358212,358279,358728,359331,360399,361056,361733,362213,362919,363615,364220,364911,365474,366500,367172,367642,368051,368602,369500,370186,371071,372147,373431,374668,376021,377217,378587,380056,381397,382931,384209,386333,388371,390724,392898,394976,396721,398401,400143,402234,404421,406463,408535,410120,411606,412494,413433,414637,416314,418076,419311,420003,420286,420737,421309,422139,422713,423381,423790,424322,424616,424883,425492,426323,427446,428460,429404,430218,431301
3-bedroom,Los Angeles,542968,532547,521099,507080,493034,480564,469615,459862,452360,444813,435977,424787,416403,411912,408645,405527,402822,400456,399522,399758,400742,402049,404617,408551,409874,408672,408663,410781,414486,414055,412139,408893,406451,403748,399914,397275,395956,395617,393606,390744,385790,384426,383399,382502,379827,377262,376908,376033,374886,373342,372606,372584,374076,375594,378093,380789,384524,389412,393338,398539,403564,411461,419990,429561,437919,446063,453161,461360,468560,474128,479063,482525,486656,487560,488055,487542,488008,488429,489871,489776,490378,491157,493851,496299,499498,503296,507301,509523,511920,514377,517103,520140,523304,526984,529616,534068,536559,539803,541648,545728,549259,552439,555143,558692,562527,566269,569001,570783,574310,577001,580577,582893,586650,590467,593916,596808,599677,602635,607440,612195,616152,619942,623603,627488,630350,633278,635793,636911,637000,637617,638204,637688,636284,633123,630052,628624,631054,634233,637315,639287,642443,645090,646897,649443,652536,657098,661429,664449,664548,663901
3-bedroom,Chicago,228254,226462,225726,223722,222984,220795,219614,217307,215912,213695,211756,209105,206137,203874,201493,199898,197676,195908,194397,193141,191629,190408,189465,189203,188823,188514,187518,187258,186391,186257,184575,183575,182029,181032,179112,177511,175814,174654,173349,171656,170289,168686,168180,167174,166673,165158,164445,163294,162678,161264,161021,160601,160639,160043,159195,158561,157981,158293,158798,159296,160118,161063,161741,162686,163463,165006,166575,168531,170112,171886,172856,174109,174746,175830,176346,176610,177110,177994,178826,179217,179882,180259,180902,181279,181651,181771,182340,183404,184347,184615,184874,185208,185610,185876,186250,186865,187623,188791,189731,190473,191072,191913,193071,194130,194982,195844,196892,197944,199085,200049,201349,202468,203480,204132,204629,205321,206206,207338,208380,209606,210844,211795,212257,212782,213496,214502,215200,215885,216646,217353,218069,218534,218800,219154,219532,220048,220517,220822,221242,221483,221703,221806,221879,222018,222251,222549,222971,223264,223484,223711
3-bedroom,Washington,368166,363318,357838,351670,344726,339039,333520,328731,323645,319093,314738,310668,306126,302065,298468,295519,293690,292385,291932,291382,290769,290466,290894,292113,293593,294278,295296,296429,297893,298038,297575,296825,296794,296582,295460,294233,293355,293519,292965,292501,291531,291480,291178,291191,290766,290141,290046,290026,290288,290752,292097,293395,294653,295973,297579,299097,300368,302439,304889,307534,309918,311628,313243,315007,317484,319747,322099,324620,327621,329995,331937,333152,334605,335972,337188,338042,338163,338204,338436,338562,338635,338593,338637,338889,338671,339344,340011,340417,340588,340901,341380,341761,342084,342775,343383,343970,344475,344128,344177,345006,346844,348289,349280,350044,351124,351959,352994,354590,356506,358874,359995,360939,360906,361591,362557,364117,365353,366712,368100,368818,369873,370376,372015,373176,375291,377012,378669,379526,380310,380902,381238,382246,383485,385457,387039,388183,389107,389766,390628,391758,393246,394885,396715,398292,399508,400429,401412,403076,404692,406647
3-bedroom,Miami,310775,304450,297406,291021,284540,278442,271907,264847,257573,250081,243238,236986,231108,225603,220055,215046,210293,206701,203680,201373,199223,197859,196622,195280,194605,194153,194221,193686,193057,191683,190428,188901,187551,185561,183861,182431,180873,179506,178092,177222,176213,175296,174375,173720,173231,173195,173287,173393,173596,173481,173718,173933,174758,175980,177224,178796,180426,182130,183443,184826,186678,189286,192172,195505,198521,201207,203996,206879,209968,212869,216558,220085,223416,225596,227697,228976,230770,232450,234586,236219,237685,239437,240441,241773,242770,244674,246231,248059,249580,251215,252463,253982,255890,257610,259703,261524,263678,265485,267194,269020,270785,273063,275337,277349,278869,280330,282038,283840,285538,287095,288394,289992,291582,293083,294475,296463,298437,300564,301563,302901,303787,305558,307624,309407,311364,312776,314549,315923,317147,317891,319559,321139,322691,322321,322307,322459,322804,323461,324116,324977,325585,326484,327121,327585,328246,329939,331227,332433,333386,334357
