homeType,RegionName,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
3-bedroom,Atlanta,161950,160913,159501,158303,157069,155782,154277,152699,151227,149628,147569,144928,142334,139915,137800,135455,133288,131293,129896,128747,127742,126655,125822,125361,124826,124197,123476,123178,123015,122697,121502,119726,117466,115515,113678,112227,110725,109479,107812,105916,103540,101358,99745,99022,99033,98987,98683,97765,97235,96671,96972,97466,98335,99230,100149,100648,100721,100994,101868,103161,104541,106104,107667,109115,110690,112362,114066,116005,118101,120195,121916,123676,125139,126469,127395,128387,129243,130047,130972,131735,132563,133236,134000,134681,135432,136137,136786,137476,138366,139398,140260,141148,141974,142746,143450,144106,145008,145905,147076,148247,149283,150043,150675,151395,152044,152985,154014,155271,156199,157259,158279,159387,160503,161775,163195,164430,165858,167205,168765,170353,172061,173658,174915,176205,177624,179303,180994,182639,184193,185761,187180,188395,189442,190398,191669,192919,194221,195031,195792,196635,197546,198427,199304,200290,201427,202672,203862,205042,206131,207469
3-bedroom,Boston,367790,365310,363010,360679,358361,355905,353602,351402,349110,346591,344150,341440,339023,336680,334263,332351,331243,330845,330744,330553,330913,331513,332416,333535,334715,336206,337467,338326,338495,338140,337600,337082,336012,335037,333944,333328,332652,331075,329086,327248,325772,325093,323933,322987,321778,320524,319209,317888,317083,316699,316863,316925,317423,317847,318945,319830,320855,322364,324451,326729,328032,330386,333155,336793,339505,341516,343405,345731,349044,352139,354566,356101,357653,358434,359400,360647,362169,363885,365116,366323,366758,366870,367420,369274,371983,374713,376493,376845,377505,378527,380796,382962,384704,386754,388158,389309,390583,392184,394111,396360,398870,401035,402041,403261,405451,407660,410210,412291,413978,415295,416778,419185,421367,423904,426939,429065,431215,432875,435752,437928,440057,442259,445227,447813,450225,452171,453833,455292,455771,456829,457243,458275,458725,459355,458651,458179,457956,459184,460377,461768,463455,464910,466149,467316,468988,470545,472703,474672,476589,477567
3-bedroom,San Francisco,690298,683830,676480,668906,658781,649346,638846,628446,619186,608893,596637,586194,573416,565576,558903,553092,547595,544604,543089,539956,536338,537352,543112,550255,556340,558377,558686,558989,560831,560581,557894,557326,554997,552336,546468,540740,536576,532183,529369,525970,520936,515137,512465,508858,508375,505345,503735,501799,498709,498208,498015,500274,504883,513076,519942,528514,535381,544669,553933,562644,575873,588158,603625,616722,631775,643291,655129,663403,672700,681638,691798,703207,710969,717719,719517,722975,723100,724940,727341,732759,738388,743840,750124,756280,760464,766670,777097,787461,797779,806700,817999,829786,841604,850197,855596,860084,869676,878352,881763,884758,887201,892180,890932,890394,888916,893752,897826,905044,908902,914666,919977,924280,929207,935027,944319,951709,962774,973778,990271,1005780,1019633,1027624,1037205,1049822,1065335,1076925,1085574,1093688,1097380,1098146,1092750,1082222,1070360,1063438,1056753,1055361,1057750,1060835,1061202,1056204,1057080,1058272,1060688,1066030,1073254,1078924,1083755,1083012,1077665,1073215
3-bedroom,Seattle,371324,368839,365754,361983,358071,353779,349810,345121,340516,336268,332424,328499,324941,320880,316651,311010,306449,302892,301093,299748,298530,297949,297609,297119,295250,293514,292031,292210,292600,291395,288621,284932,281926,278380,274934,271799,269648,268144,265739,262834,258096,254566,251062,248972,246583,244494,242486,240882,240027,238421,237825,237240,238794,240840,243585,245805,248143,250920,254156,256785,258448,261230,264988,269738,273937,276954,280198,283496,287067,289716,291845,294166,296876,299392,300480,301255,301385,303341,304673,305894,306483,308262,310263,312858,315728,317944,320414,322297,325483,327742,330318,333686,337608,341197,344293,347073,349705,352885,356524,360483,364093,367562,371351,374675,378050,380974,385049,389164,393206,397133,400841,405333,409511,414516,419710,424387,428151,432431,436190,440686,445133,450795,455993,460556,464376,466874,467661,467805,469460,471024,471751,470580,469511,467799,466299,464776,466009,467883,470791,472963,475153,477262,479978,483736,487515,491299,495342,499693,502482,505408
4-bedroom,New York,550710,548459,545277,541734,537283,533215,529382,526265,523075,519435,515461,511438,507499,503649,500082,496378,493509,490563,487828,485096,483144,481856,481166,480698,480142,479846,479410,479423,478945,478818,478537,478058,476878,474959,472824,470741,469010,467295,465528,463449,461386,458906,456513,454254,452316,450692,448849,446943,445161,443280,441826,440397,439574,439064,438673,438408,438230,438086,438293,438770,439342,440453,441478,442964,444375,446060,448123,450176,452244,454466,456774,458862,460688,461824,463222,464412,465799,466877,467476,467988,468467,469052,469293,469901,470830,472325,473311,474023,474324,474848,475458,476027,476619,477074,478121,478755,479125,479432,479952,480996,481814,482722,483797,485101,486496,488070,489408,490948,492595,493988,495652,496901,499295,501591,504280,506768,509113,510972,512691,514485,516630,519021,521130,523495,525165,526954,527954,529033,530225,531991,533831,535070,535673,535736,535871,536197,536705,536929,537160,537168,537407,537393,537406,537801,538488,539518,540563,541415,542247,543291
4-bedroom,Los Angeles,663304,650524,638360,623529,609368,596664,586716,578356,572582,565442,555937,543923,535175,531392,528040,525022,522518,520845,520707,521140,522448,524362,528292,533408,535251,534009,533961,536882,541197,540706,537616,533462,530229,526931,522228,518975,517530,517142,515055,511560,505553,503671,502577,501689,498661,495869,495451,494677,493085,491094,490281,490498,492811,494906,498479,502151,506900,512847,517725,523995,530772,540970,551984,563714,574060,583959,592354,601846,610356,616874,622880,627359,632163,632989,632704,631631,631484,631714,632914,632563,633230,634189,637348,639818,643228,647534,652232,655204,657823,660581,663607,667109,670696,674739,677138,681949,684195,687452,688881,692624,696332,699271,702267,705908,709459,712725,715451,717058,721172,723887,728087,730369,734156,738133,741416,744114,747066,750367,755798,761259,765486,769439,772883,777094,780158,783498,785503,786130,785306,786041,786578,785908,784154,780667,777320,775556,778218,781545,785497,787848,791835,794435,796063,798437,801537,806214,810667,813684,813321,812087
4-bedroom,Chicago,348018,345673,344301,341452,339903,336836,334736,331459,329371,326345,323557,319813,315432,311931,308338,305919,302976,300410,298529,296755,294859,293091,291851,291390,290969,290423,289162,288825,287593,287386,284904,283549,281267,280054,277301,275258,272878,271568,269871,267684,265965,264000,263647,262493,261909,259753,258850,257232,256540,254617,254481,254042,254438,253999,253229,252610,252198,252995,254131,255114,256490,258093,259365,261220,262642,264950,267064,269933,272379,275156,276631,278520,279564,281237,281830,281889,282213,283359,284567,285007,285567,285662,286261,286583,286858,286701,287355,288584,289752,289728,289772,289925,290320,290591,290876,291443,292222,293638,294721,295561,296137,297023,298188,299211,299947,300705,301841,303093,304486,305520,306961,308187,309293,309917,310301,310926,311796,313060,314223,315547,316823,317713,317982,318317,318857,319813,320449,321145,321887,322482,322977,323217,323269,323529,323696,324092,324411,324562,324759,324736,324737,324619,324529,324503,324585,324718,325120,325338,325514,325669
4-bedroom,Washington,510491,503406,495444,486743,477386,470490,464068,458786,452598,447248,441880,437153,431569,426895,423115,420179,418944,417999,418396,418274,418149,418375,419526,421759,424594,426127,428003,429750,431836,431978,431083,430070,430392,430469,429147,427420,426205,426564,426023,425825,424862,425379,425512,426105,425630,424607,424572,424835,425270,425849,427489,429197,430715,432092,433766,435081,436142,438623,441629,444926,448065,450277,452284,454132,457060,459816,462680,465832,469793,472860,475369,476737,478324,479712,481029,481931,481839,481660,481827,481807,481696,481412,481179,481253,480784,481747,482607,483037,483022,483088,483341,483563,483754,484438,484988,485556,485991,485051,484796,485710,488195,490042,491372,492290,493660,494617,495923,498052,500421,503638,504940,506199,505932,506878,508037,510061,511466,513151,514812,515423,516939,517341,519525,520517,522950,524740,526444,527151,527819,528218,528215,529180,530409,532818,534634,535938,536896,537485,538450,539783,541614,543636,545994,548049,549506,550582,551749,554020,556265,559015
4-bedroom,Miami,425719,416937,407178,398264,389113,380929,372500,363801,354528,345042,336232,327935,320384,313753,307104,301162,295508,291401,288212,285910,284004,282955,282249,281405,281418,281404,282135,281991,281754,280242,278832,277180,275835,273651,271760,270253,268493,266904,265207,264291,263280,262476,261484,260590,259917,259912,260032,260006,260227,260277,260859,261368,262539,264221,266003,268277,270562,272855,274678,276650,279226,282645,286365,290673,294657,298208,301962,305872,309919,313767,318465,323077,327248,329967,332628,334121,336237,338093,340409,341989,343416,345085,345828,346909,347776,349877,351362,353289,354624,356300,357381,358942,360893,362701,365029,367026,369339,371037,372715,374465,376372,378717,381127,383040,384511,385901,387764,389629,391299,392718,393787,395347,396796,398275,399657,401815,403860,406127,406926,408217,409059,411037,413333,415024,417005,418290,420044,421306,422348,422806,424384,425883,427312,426365,425971,426012,426201,426775,427225,428086,428699,429680,430392,430904,431689,433794,435391,436867,438134,439461
4-bedroom,Atlanta,241730,240440,238590,237196,235697,234189,232338,230327,228405,226350,223833,220377,217171,214141,211703,208737,206019,203725,202434,201537,200655,199365,198463,198172,197948,197522,196878,196827,196874,196489,194730,192339,189589,187472,185393,183952,182255,180952,178787,176650,174013,171794,170303,169928,170394,170783,170760,169726,169189,168599,169557,170394,171712,173000,174356,174920,174742,174894,176040,177790,179742,181852,184005,186139,188447,190750,193024,195727,198838,201696,203857,206040,207842,209640,210722,211770,212448,213077,214082,214943,215789,216582,217584,218533,219436,220168,220746,221538,222725,224280,225410,226532,227643,228708,229748,230620,231873,233084,234831,236460,237856,238627,239350,240298,241170,242399,243617,245271,246457,247813,248965,250269,251644,253410,255236,256629,258241,259640,261357,263027,265152,267192,268740,270127,271573,273194,274710,276173,277632,279319,280840,282005,282779,283423,284576,285718,286947,287497,288148,288930,289766,290445,291095,291966,293011,294170,295227,296357,297400,298840
4-bedroom,Boston,510006,506901,504091,501447,499136,496756,494616,492537,490241,487449,484525,481117,478360,475846,473075,470684,468938,468377,468120,467762,467804,468140,469054,470328,471765,473518,475238,476325,476738,476170,475503,474880,473961,473423,472757,472581,472068,470445,468154,466258,464636,464247,463234,462411,461003,459228,457317,455604,454724,454370,454646,454742,455526,456113,457502,458694,459881,461888,464673,467705,469272,472192,475678,480243,483527,485964,488187,490931,495268,499453,502730,504603,506454,507247,508367,510029,512106,514258,515742,517191,517662,517400,517722,519930,523289,526745,528868,529049,529520,530593,533468,536229,538226,540891,542580,543792,545247,547262,549631,552200,555004,557405,557978,558861,560934,562871,565431,567596,569384,570433,571702,574420,577112,580142,583707,585823,588151,590067,593756,596413,598900,601524,605214,608193,610869,612784,614660,616362,616928,618158,618333,619280,619684,620410,619464,618727,618220,619677,620882,622427,624265,625777,627058,628291,630046,631616,633887,636041,638177,639134
4-bedroom,San Francisco,883326,877896,872120,864827,854689,844995,834921,824256,813502,801019,785959,774268,756437,745979,736077,731700,725407,723503,720915,716019,710001,710394,717002,724919,733522,736738,738405,737589,740244,739139,736032,734658,732673,730585,724672,717698,712979,708299,705679,700550,692990,685124,683807,681739,683725,680214,678173,675136,670992,670236,670184,675004,682526,694062,702019,712027,718916,730034,740994,753434,769821,783897,801224,816243,834225,848064,861118,869686,879180,888606,900601,913396,922286,930305,932406,935143,933553,933530,936161,942877,950089,956917,964173,970707,975807,982718,995141,1007439,1018859,1029460,1040916,1053780,1067696,1078503,1084820,1090956,1102323,1113414,1116326,1119497,1123319,1129643,1128976,1127988,1124788,1129718,1134160,1141177,1144626,1150543,1158832,1164589,1170136,1176534,1186954,1195662,1209381,1222110,1240427,1258499,1275278,1285531,1295266,1309132,1326364,1338673,1346983,1354088,1357386,1357759,1352379,1339921,1325751,1317671,1311767,1311625,1315248,1319149,1320985,1316874,1318430,1320148,1322476,1328669,1336646,1342096,1345526,1342552,1334649,1328110
4-bedroom,Seattle,488600,485579,481170,475660,470156,464536,459367,453066,446973,441217,436127,429960,424922,419538,414844,407700,401932,397094,394723,392832,391133,390387,390077,390242,388081,386085,383751,384135,384702,383667,380656,376683,373648,369781,365918,362477,360462,359417,357188,354349,349132,345524,342074,340420,338277,336449,334773,333244,332363,330279,330105,330299,333541,337063,341021,344125,347217,351009,355339,359168,361953,366430,371584,377554,382298,385577,389546,393624,398250,401551,404071,406785,410166,413178,414434,415152,415380,418180,419856,421291,421883,424053,426633,429855,433549,436182,439171,441389,445317,447854,451067,455547,460550,465093,469040,472633,475669,479793,484739,490270,494835,499301,504054,508194,512488,516382,521946,527666,533368,538381,542774,548422,554526,561727,569017,575152,580225,586073,590911,596627,602471,610502,617999,623913,628152,630382,630513,630351,632405,634048,634176,631483,628912,625531,622647,620185,621340,623356,626596,628818,630838,632873,636130,641019,645868,650552,655451,660738,664185,667959
5+-bedroom,New York,787057,783920,779564,774700,768548,763271,758398,754593,750581,746271,741341,736163,731597,726988,722692,717484,713233,708467,703908,699453,696309,693750,691988,690812,689630,688950,687883,687645,687194,687513,687765,687112,685459,683038,680702,678260,676192,674238,672683,670681,668334,665410,662760,660931,659352,657950,655861,653798,651648,649512,647706,646545,646014,645922,645733,645695,645871,646262,647298,648678,650307,652272,653979,655734,657893,660687,664074,667206,670456,673963,677588,680817,683755,685935,688780,691407,694059,695942,697357,698915,700232,701500,702159,703464,705497,708355,710383,712063,713198,714731,716103,717219,718324,719351,721405,722726,723332,723890,724751,726405,727498,728681,730063,731697,733505,735574,737219,739287,741314,742747,744619,745998,749112,751859,755123,758170,761199,763468,765505,767475,770016,772847,775217,777880,779672,781571,782331,783244,784221,786166,788182,789338,789608,789273,789113,788751,788584,788321,788561,788350,788265,787747,787335,787537,788165,789239,790313,791493,792640,793945
5+-bedroom,Los Angeles,991572,974889,958974,939329,920657,904577,892886,883622,877952,868772,855495,837677,825533,819759,814851,810038,806161,801974,799903,798503,799692,802025,807119,814148,815851,813835,813141,817072,822675,822136,817870,812384,807069,802236,795173,790727,788659,788190,785815,781371,773215,770980,769882,769126,765235,761452,761273,760463,758700,756218,755208,755859,759626,763315,769003,774370,781368,789898,797233,806317,815896,830491,846209,863123,877847,891612,902940,917162,930254,940774,949213,955499,962447,963516,962970,960995,960841,961218,964250,962196,961602,960490,965287,969412,975325,982449,990054,994614,998508,1002467,1005994,1011412,1016915,1023858,1027223,1033555,1035578,1039255,1040616,1045648,1050330,1053996,1058040,1062894,1067260,1070847,1073970,1076008,1081699,1084785,1089745,1092192,1097288,1102694,1106412,1109694,1113607,1118694,1126482,1134111,1140312,1146279,1151470,1157534,1161737,1166141,1167575,1167513,1165676,1167001,1167936,1167060,1164925,1159901,1155209,1152295,1155850,1160030,1166154,1169232,1174533,1176801,1177852,1179970,1182685,1187907,1192661,1195661,1193622,1190514
5+-bedroom,Chicago,507037,503533,501758,497031,494596,489852,486952,482004,478909,474214,470014,464355,457544,452157,446502,443130,438675,434757,431807,429345,426626,423932,421790,421136,420465,419732,417661,417236,415175,414713,410612,408411,404961,403548,399790,396917,393379,391499,389239,386060,383824,381185,381232,379938,379503,376261,375158,372782,372193,369429,369746,369492,370581,370220,369289,368427,367762,369055,370878,372593,374760,377307,379004,381536,383352,386681,389684,393805,397188,401040,402796,405362,406680,409099,409840,409766,410045,411507,413117,413625,414464,414726,415651,416066,416371,416166,417175,418965,420667,420556,420529,420612,421026,421160,421438,421956,422660,424074,425087,425920,426333,427202,428277,429171,429552,430101,431086,432486,434076,435180,436596,437682,438481,438705,438716,439298,440295,441639,442808,444102,445638,446630,446818,446909,447432,448440,449097,449630,450357,450805,451222,451184,450675,450401,450137,450476,450794,450930,451012,450819,450555,450275,449993,449878,449935,450112,450580,450679,450618,450528
5+-bedroom,Washington,669623,661200,651320,640443,628819,620110,612233,606202,599364,593545,587360,581888,574959,569325,564691,561038,559775,558835,559494,558943,558506,558652,560332,563128,567175,569264,572107,574207,576750,577025,576061,575083,575241,575406,573655,571746,570081,570738,570176,570301,569524,570563,570995,572013,571816,570615,570427,570404,570383,570986,572884,575556,577321,578878,580752,582229,583390,586171,589801,594112,598827,601860,604393,605811,609137,612376,615763,619327,623922,627837,631238,632926,634712,636297,637906,639281,639182,638853,639053,639116,639345,639009,638818,638869,637952,638900,639665,640280,640178,640444,640549,640629,640364,640781,640787,641035,641579,640180,639883,640458,643483,645204,646769,647742,649396,650753,652492,655249,657893,661602,662884,664455,663984,665203,666441,668863,670463,672267,674088,674472,676003,676459,679122,680329,683094,685028,686826,687335,687637,687693,687476,688739,690358,693157,695043,696236,697300,697911,699004,700323,702606,705086,707817,710034,711572,712734,714169,716965,719641,722944
5+-bedroom,Miami,691764,678490,663307,649234,636134,625069,613311,600917,587545,573401,560088,548198,537696,528281,518825,511061,503231,497645,493295,490252,487581,486804,486229,485235,484781,485103,487029,487505,487548,485676,484193,482420,480708,477367,474706,472974,471200,469216,466581,464750,463029,461999,460875,460046,459788,460368,461220,461602,462320,462728,464281,466129,468709,471214,473778,477005,480685,484563,487637,491018,495150,500449,505722,511639,517235,522563,527747,533061,538269,542941,548758,554132,559295,562693,566659,568597,571262,573065,576001,577963,579574,581500,582522,584607,586248,588873,590061,592144,593640,596108,597614,599741,602467,605150,608129,610085,612537,614481,616546,618355,620444,623269,626224,628224,629280,630267,631868,633771,634758,635782,636210,637896,638908,639792,640278,642116,644546,647216,648041,648890,649399,651494,654307,656370,658950,660256,662396,663535,664287,664257,665736,667360,668633,666544,665297,664567,664416,664924,665283,666195,666576,667440,667857,668044,668749,671197,672736,673992,674683,675492
5+-bedroom,Atlanta,367179,364847,361811,359724,357649,355726,353431,350728,348082,344937,341385,336721,333211,329741,326815,322242,317903,314074,311773,310277,308641,306789,305346,304986,304384,303710,302957,303413,304040,303858,301735,298643,295345,292836,290456,288861,286842,285310,282734,280412,277538,275516,274392,274741,276021,277206,277756,276783,276394,276072,277956,279580,281719,283538,285583,286527,286449,286638,288112,290409,293338,296418,299353,302119,305056,308054,310770,314115,318167,321883,324740,327675,329779,331753,332642,333631,334284,334942,336319,337444,338485,339470,340754,342072,343429,344592,345628,346817,348475,350575,351984,353366,354735,356214,357576,358396,359822,361189,363380,365323,366864,367612,368308,369309,369972,371096,372344,374465,375880,377442,378532,379798,381221,383185,385295,386781,388670,390117,391959,393776,396141,398410,400160,401714,403306,404759,406087,407288,408712,410470,412044,412960,413317,413750,414829,415862,416845,417182,417738,418505,419205,419767,420272,421166,422389,423613,424719,425973,427279,429124
5+-bedroom,Boston,718592,714114,710192,706435,702811,699372,696777,694649,692111,688637,684147,678817,674595,671516,668230,665364,663358,662734,661658,660481,660114,660606,661868,663635,666041,668494,670994,672661,673704,673246,672725,671752,670301,669430,668950,669256,668780,666913,663832,661511,659347,659095,658164,657817,656591,654608,652235,650101,649138,648822,649565,649740,651192,652421,655109,656850,658309,660877,665032,669768,672489,676839,681812,688398,692696,696016,698616,702975,709800,716552,721356,723887,726393,727755,729867,732943,736993,740713,743767,746219,747377,747117,747924,751493,756355,761250,764153,764302,764588,765991,770035,774072,776619,780398,782721,784739,787804,791622,795272,798495,802004,805133,805373,806083,808877,811464,815035,817538,819116,819478,820783,824796,829058,833371,838555,841691,845183,848074,853250,856971,860342,864255,869555,873571,876732,879057,881553,883761,884236,885623,885788,886922,887297,887738,886060,884873,884417,886458,887777,889477,891741,893542,894876,896293,898520,900613,903417,905883,908121,908841
5+-bedroom,San Francisco,1159907,1153664,1147272,1138568,1127291,1115772,1104793,1091958,1078785,1061567,1040607,1024171,999039,985003,972066,968071,960528,958553,955099,947725,939553,940520,950866,962269,975323,980392,982583,980558,983287,982031,977446,977128,975072,973016,964522,955638,949846,943700,940627,934497,925261,915135,914293,910990,913811,909878,909351,907263,902450,902499,903511,911181,922520,939265,951278,966084,975821,990207,1003775,1019160,1040524,1058952,1081659,1101090,1125036,1143862,1163114,1176232,1190797,1204520,1222383,1241525,1255825,1267974,1272539,1278140,1277851,1279057,1282618,1292054,1302059,1311723,1320833,1328869,1335085,1345125,1362522,1379185,1393429,1406352,1420181,1436268,1454476,1468950,1477564,1485575,1500298,1513752,1515945,1518226,1521514,1528068,1524466,1520809,1514202,1520450,1526167,1535273,1539135,1546063,1555915,1562473,1569526,1577940,1590800,1600599,1616532,1631427,1653457,1675608,1696375,1708523,1719320,1734590,1753579,1766566,1771896,1777006,1778962,1778512,1770536,1751672,1733317,1723015,1716870,1718407,1725929,1733418,1740796,1739466,1744444,1748027,1752480,1762971,1773693,1780982,1784846,1780373,1768485,1758073
5+-bedroom,Seattle,588877,585628,579995,572414,565134,558040,552099,544952,538133,531467,525259,517021,511929,506777,503287,495325,488572,482750,479654,476975,474558,473694,473667,474521,470610,467042,462580,463348,464307,463457,460242,455924,452723,448158,443644,439641,437681,436802,434517,431337,425286,421312,417628,416052,413619,411559,409753,408180,407370,404867,405051,405545,410039,414412,419125,422920,426839,431647,436699,441143,444670,450588,456904,463939,469077,472646,477108,481654,487030,490939,493990,497302,501482,504962,506469,507136,507706,511544,513909,515825,516716,519478,523058,527186,531980,535182,538819,541680,546517,549550,553692,559669,566027,571638,576407,580922,584275,589547,595885,603310,609112,614855,620615,625306,630317,634993,642037,649474,657035,663182,668380,675052,682927,692088,701484,709321,715805,723539,729626,736270,743317,753529,763356,770303,774764,776727,776195,775744,778362,780308,779952,775274,771107,765897,762078,758897,760130,762432,766087,768482,770300,772067,775771,782314,788404,794218,799606,805830,809914,814432
